id,name,budget_range,preferred_location,requirements,checkin_time_preference,checkout_time_preference,preferred_facilities,special_requests
487,Bảo Nguyễn,3.740.000 - 3.790.000 VND,Ninh Bình,"Trung tâm thể dục, Sân vườn",12:30 - 15:00,12:00 - 12:00,"Tiện nghi cho khách khuyết tật, Dọn phòng hàng ngày",
488,Thành Mai,3.130.000 - 5.050.000 VND,Phú Yên,"WiFi miễn phí, Thang máy, Phòng gia đình",12:30 - 15:00,11:00 - 12:00,"Phòng không hút thuốc, Sân thượng / hiên, Dịch vụ phòng",Hướng biển
489,Nam Mai Nguyễn,3.120.000 - 3.620.000 VND,Bà Rịa - Vũng Tàu,"Hồ bơi trong nhà, Dọn phòng hàng ngày",14:30 - 16:00,9:00 - 12:00,"Xe đưa đón sân bay, Nhà hàng",
490,Lê,16.220.000 - 16.940.000 VND,Phú Thọ,"Quầy bar, Lễ tân 24 giờ",14:00 - 13:00,9:30 - 12:00,"Phòng gia đình, WiFi miễn phí, Tiện nghi cho khách khuyết tật",Hướng biển
491,Thành Trần,8.170.000 - 10.030.000 VND,Thái Nguyên,"Dịch vụ phòng, Điều hòa nhiệt độ",15:00 - 17:00,11:30 - 12:00,Dịch vụ phòng,Tầng cao
492,Kim Lê,6.790.000 - 8.290.000 VND,Quảng Ninh,"Khu vực bãi tắm riêng, Dịch vụ phòng, WiFi miễn phí, Hồ bơi ngoài trời",12:00 - 14:00,10:30 - 12:00,"WiFi miễn phí, Xe đưa đón sân bay, Trung tâm thể dục, Lễ tân 24 giờ",Tầng cao
493,Nhiên Bùi,14.370.000 - 14.660.000 VND,Gia Lai,"Sân vườn, Phòng không hút thuốc, Dịch vụ phòng, Xe đưa đón sân bay",12:30 - 16:00,11:30 - 12:00,Quầy bar,Giường phụ
494,Thành Thế Nguyễn,760.000 - 2.660.000 VND,Phú Thọ,Tiện nghi BBQ,12:30 - 17:00,12:30 - 12:00,"Phòng không hút thuốc, Điều hòa nhiệt độ, Máy pha trà/cà phê",Giáp biển
495,Bảo Hải Mai,8.000.000 - 8.030.000 VND,Trà Vinh,"Xe đưa đón sân bay, Hồ bơi trong nhà, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ",12:30 - 14:00,10:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Quầy bar, WiFi miễn phí",View đẹp
496,Hải Nguyễn,17.790.000 - 18.000.000 VND,Thái Bình,"Sân vườn, Khu vực bãi tắm riêng, WiFi miễn phí, Thang máy",14:00 - 14:00,11:00 - 12:00,"WiFi miễn phí, Sân thượng / hiên, Khu vực bãi tắm riêng",Tầng cao
497,Bảo Nguyễn,9.330.000 - 11.110.000 VND,Bà Rịa - Vũng Tàu,Quầy bar,12:30 - 18:00,10:00 - 12:00,"Hồ bơi ngoài trời, Quầy bar, Hồ bơi trong nhà, Thang máy",Hướng biển
498,Ngọc Đặng,3.280.000 - 3.920.000 VND,Lai Châu,"Sân thượng / hiên, Phòng không hút thuốc",14:30 - 16:00,12:00 - 12:00,"Giặt ủi, Phòng không hút thuốc, Trung tâm thể dục",View đẹp
499,Khoa Nguyễn,4.110.000 - 4.330.000 VND,Hải Phòng,"Giặt ủi, Chỗ đỗ xe, Trung tâm thể dục",12:00 - 13:00,10:00 - 12:00,"Hồ bơi ngoài trời, Xe đưa đón sân bay, Tiện nghi BBQ, Giặt ủi",
500,Châu Bảo Hoàng,12.700.000 - 13.800.000 VND,Nam Định,"Nhà hàng, Phòng gia đình, Tiện nghi cho khách khuyết tật",12:00 - 13:00,12:30 - 12:00,"Điều hòa nhiệt độ, Dịch vụ phòng, Tiện nghi BBQ, Hồ bơi ngoài trời",
501,Tùng Nguyễn,17.700.000 - 18.390.000 VND,Đồng Nai,"Chỗ đỗ xe, Nhà hàng, WiFi miễn phí, Hồ bơi ngoài trời",15:00 - 15:00,10:30 - 12:00,"WiFi miễn phí, Nhà hàng",
502,Nhật Hoàng,5.410.000 - 6.020.000 VND,Nghệ An,"Dịch vụ phòng, Tiện nghi cho khách khuyết tật, Trung tâm thể dục, Phòng không hút thuốc",14:00 - 13:00,12:00 - 12:00,"Tiện nghi BBQ, Chỗ đỗ xe, Phòng không hút thuốc",
503,Vân Lê,7.900.000 - 9.720.000 VND,Hậu Giang,"Phòng gia đình, Điều hòa nhiệt độ, Máy pha trà/cà phê",11:00 - 15:00,10:30 - 12:00,"Sân thượng / hiên, Phòng không hút thuốc, Tiện nghi BBQ",Phòng yên tĩnh
504,Nhật Vũ,150.000 - 800.000 VND,Kon Tum,"Hồ bơi trong nhà, Chỗ đỗ xe, Phòng không hút thuốc, Tiện nghi cho khách khuyết tật",12:00 - 17:00,10:30 - 12:00,"Nôi/cũi theo yêu cầu, Sân vườn",Giáp biển
505,Tùng Phạm,2.750.000 - 2.980.000 VND,Gia Lai,"Nhà hàng, Xe đưa đón sân bay, Điều hòa nhiệt độ, Thang máy",11:00 - 16:00,11:30 - 12:00,"Hồ bơi trong nhà, Xe đưa đón sân bay, Sân thượng / hiên, Trung tâm Spa & chăm sóc sức khoẻ",Khu vực cho phép hút thuốc
506,Chi Mai,6.460.000 - 7.580.000 VND,TP. Hồ Chí Minh,"Thang máy, Khu vực bãi tắm riêng",14:00 - 17:00,12:00 - 12:00,"Nhà hàng, Lễ tân 24 giờ",
507,Bảo Vũ,780.000 - 1.990.000 VND,Đắk Nông,"Tiện nghi BBQ, Dọn phòng hàng ngày",14:00 - 16:00,9:30 - 12:00,"Tiện nghi BBQ, Máy pha trà/cà phê, Sân vườn",Hướng biển
508,Nam Phú Đặng,17.370.000 - 19.220.000 VND,Thừa Thiên Huế,"Điều hòa nhiệt độ, Tiện nghi cho khách khuyết tật",11:00 - 15:00,10:00 - 12:00,"Trung tâm thể dục, Phòng không hút thuốc, Hồ bơi ngoài trời",Phòng yên tĩnh
509,Khoa Vũ,10.820.000 - 12.790.000 VND,Lào Cai,"WiFi miễn phí, Phòng gia đình",12:30 - 18:00,9:30 - 12:00,Hồ bơi trong nhà,Phòng không cửa sổ
510,Nam Xuân Lê,2.540.000 - 3.550.000 VND,Hà Nội,Thang máy,12:00 - 13:00,12:30 - 12:00,"Quầy bar, Xe đưa đón sân bay, Sân thượng / hiên, Phòng không hút thuốc",
511,Kim Phạm,940.000 - 2.620.000 VND,Nghệ An,"Thang máy, Khu vực bãi tắm riêng, Trung tâm thể dục, Nhà hàng",12:00 - 18:00,11:30 - 12:00,Khu vực bãi tắm riêng,
512,Hương Đặng,12.380.000 - 13.360.000 VND,Bắc Ninh,"Xe đưa đón sân bay, Giặt ủi, Dịch vụ phòng, Trung tâm Spa & chăm sóc sức khoẻ",14:00 - 13:00,10:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Chỗ đỗ xe, Hồ bơi trong nhà, Quầy bar",Phòng không cửa sổ
513,Phương Hoàng,3.200.000 - 3.510.000 VND,Đồng Tháp,"WiFi miễn phí, Khu vực bãi tắm riêng, Hồ bơi trong nhà, Phòng không hút thuốc",15:00 - 15:00,9:30 - 12:00,"Sân vườn, Dọn phòng hàng ngày",Giáp biển
514,Thành Thế Phạm,5.540.000 - 6.990.000 VND,Nam Định,"Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, WiFi miễn phí, Tiện nghi cho khách khuyết tật",15:00 - 16:00,12:00 - 12:00,Nôi/cũi theo yêu cầu,Giáp biển
515,Phương Dương,13.900.000 - 14.480.000 VND,Ninh Thuận,"Sân vườn, Nôi/cũi theo yêu cầu",15:00 - 15:00,12:30 - 12:00,Sân vườn,Chỗ đậu xe riêng
516,Hà Bùi,14.060.000 - 14.830.000 VND,Thái Nguyên,"Nôi/cũi theo yêu cầu, WiFi miễn phí",13:00 - 17:00,9:00 - 12:00,Nôi/cũi theo yêu cầu,Hướng biển
517,Lan Vũ,9.560.000 - 11.260.000 VND,Quảng Ngãi,"Tiện nghi cho khách khuyết tật, Xe đưa đón sân bay, Trung tâm thể dục",11:00 - 13:00,12:00 - 12:00,"Chỗ đỗ xe, Lễ tân 24 giờ",
518,Quang Đức Phạm,18.000.000 - 19.810.000 VND,Đồng Tháp,"Trung tâm thể dục, Khu vực bãi tắm riêng, Dọn phòng hàng ngày",14:30 - 15:00,10:00 - 12:00,"Phòng gia đình, Khu vực bãi tắm riêng",View đẹp
519,Hà Hữu Mai,17.900.000 - 19.630.000 VND,Bến Tre,"Máy pha trà/cà phê, Bữa sáng, Chỗ đỗ xe, Điều hòa nhiệt độ",11:00 - 18:00,12:30 - 12:00,"Phòng không hút thuốc, Khu vực bãi tắm riêng, Sân thượng / hiên, Sân vườn",Giường phụ
520,Hà Lê,7.430.000 - 9.200.000 VND,Phú Yên,"Hồ bơi trong nhà, Phòng gia đình, Nhà hàng, Bữa sáng",12:00 - 13:00,10:00 - 12:00,"Sân vườn, Quầy bar",
521,Hải Đặng,5.000.000 - 6.120.000 VND,Thái Nguyên,"Phòng gia đình, Hồ bơi trong nhà",14:00 - 16:00,12:00 - 12:00,Giặt ủi,Giáp biển
522,Duyên Đặng,9.980.000 - 11.190.000 VND,Bà Rịa - Vũng Tàu,"Trung tâm thể dục, Dịch vụ phòng, Hồ bơi ngoài trời, Hồ bơi trong nhà",15:30 - 13:00,11:00 - 12:00,Quầy bar,Không cần dọn phòng
523,Nhật Tấn Lê,8.560.000 - 9.830.000 VND,Quảng Ninh,"Lễ tân 24 giờ, Sân vườn, Chỗ đỗ xe",14:30 - 14:00,9:00 - 12:00,"Trung tâm thể dục, Thang máy, Máy pha trà/cà phê, Phòng gia đình",
524,Hưng Hoàng,13.320.000 - 14.390.000 VND,Tiền Giang,"Điều hòa nhiệt độ, Sân vườn, Sân thượng / hiên, Quầy bar",13:30 - 18:00,12:00 - 12:00,"Hồ bơi trong nhà, Khu vực bãi tắm riêng",
525,Huy Hoàng,7.090.000 - 8.220.000 VND,Đà Nẵng,"Trung tâm thể dục, Phòng không hút thuốc",13:30 - 14:00,11:30 - 12:00,"Phòng không hút thuốc, Quầy bar, Khu vực bãi tắm riêng, Tiện nghi cho khách khuyết tật",Chỗ đậu xe riêng
526,Bảo Mai Bảo Trần,12.780.000 - 13.320.000 VND,Đồng Nai,Phòng không hút thuốc,14:00 - 14:00,10:00 - 12:00,"Điều hòa nhiệt độ, WiFi miễn phí, Sân vườn, Hồ bơi trong nhà",
527,Dũng Đặng,11.450.000 - 11.580.000 VND,Bà Rịa - Vũng Tàu,"Xe đưa đón sân bay, Tiện nghi cho khách khuyết tật, Phòng không hút thuốc",12:00 - 17:00,9:00 - 12:00,"WiFi miễn phí, Điều hòa nhiệt độ, Sân thượng / hiên",
528,Thành Xuân Nguyễn,11.550.000 - 12.130.000 VND,Kiên Giang,"Thang máy, Tiện nghi cho khách khuyết tật, Trung tâm Spa & chăm sóc sức khoẻ",11:30 - 14:00,9:00 - 12:00,"Dọn phòng hàng ngày, Trung tâm Spa & chăm sóc sức khoẻ, Điều hòa nhiệt độ, Sân thượng / hiên",Hướng biển
529,Hà Trần,16.910.000 - 18.350.000 VND,Bạc Liêu,Giặt ủi,11:00 - 15:00,10:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Nôi/cũi theo yêu cầu, Sân vườn, Khu vực bãi tắm riêng",Chỗ đậu xe riêng
530,Hồng Hoàng,13.300.000 - 14.240.000 VND,Hà Giang,"Điều hòa nhiệt độ, Hồ bơi ngoài trời",14:30 - 13:00,10:30 - 12:00,"Hồ bơi trong nhà, Nôi/cũi theo yêu cầu, Giặt ủi",
531,Khoa Đức Hoàng,7.670.000 - 9.510.000 VND,Quảng Trị,"Tiện nghi cho khách khuyết tật, Quầy bar, Phòng không hút thuốc, Dịch vụ phòng",12:30 - 14:00,10:30 - 12:00,"WiFi miễn phí, Dọn phòng hàng ngày, Nôi/cũi theo yêu cầu, Phòng không hút thuốc",Phòng yên tĩnh
532,Hương Dương,9.110.000 - 9.490.000 VND,Sóc Trăng,Tiện nghi BBQ,15:00 - 13:00,11:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Giặt ủi, WiFi miễn phí, Lễ tân 24 giờ",Phòng yên tĩnh
533,Mai Trần,13.570.000 - 15.220.000 VND,Bình Phước,Quầy bar,15:30 - 16:00,12:30 - 12:00,"Tiện nghi cho khách khuyết tật, Bữa sáng, Xe đưa đón sân bay",Giường phụ
534,Nhật Mai,3.050.000 - 4.850.000 VND,Hải Dương,"Quầy bar, Hồ bơi ngoài trời, Máy pha trà/cà phê, Sân thượng / hiên",15:30 - 18:00,11:30 - 12:00,"Hồ bơi trong nhà, Phòng gia đình",
535,Phương Lê,6.900.000 - 7.900.000 VND,Quảng Ngãi,"Nôi/cũi theo yêu cầu, Máy pha trà/cà phê",13:00 - 13:00,11:30 - 12:00,"Bữa sáng, Máy pha trà/cà phê",Nôi em bé
536,Trung Trần,17.090.000 - 19.080.000 VND,Đồng Tháp,"Nôi/cũi theo yêu cầu, Điều hòa nhiệt độ, Khu vực bãi tắm riêng, Lễ tân 24 giờ",13:30 - 18:00,11:00 - 12:00,Trung tâm Spa & chăm sóc sức khoẻ,Hướng biển
537,Quang Mai,9.240.000 - 10.010.000 VND,Lào Cai,Dọn phòng hàng ngày,13:00 - 18:00,10:30 - 12:00,"Hồ bơi trong nhà, Phòng không hút thuốc, Tiện nghi BBQ",Chỗ đậu xe riêng
538,Hoàng Văn Mai,14.670.000 - 15.640.000 VND,Lai Châu,"Điều hòa nhiệt độ, Thang máy",15:00 - 15:00,12:00 - 12:00,"Tiện nghi BBQ, WiFi miễn phí",Hướng biển
539,Vân Hoàng,1.930.000 - 2.090.000 VND,Hậu Giang,"Sân vườn, Hồ bơi ngoài trời",14:00 - 15:00,12:30 - 12:00,"Trung tâm thể dục, Sân vườn, Quầy bar",Giáp biển
540,Phương Phạm,14.160.000 - 15.420.000 VND,Quảng Ngãi,"Giặt ủi, Nhà hàng, Nôi/cũi theo yêu cầu, Sân vườn",14:00 - 18:00,9:00 - 12:00,"Sân vườn, Lễ tân 24 giờ, Khu vực bãi tắm riêng, Giặt ủi",Tầng cao
541,Dũng Trần,2.480.000 - 4.030.000 VND,Thanh Hóa,"Điều hòa nhiệt độ, Tiện nghi cho khách khuyết tật, Trung tâm thể dục, Hồ bơi trong nhà",11:00 - 13:00,11:30 - 12:00,"Hồ bơi trong nhà, Sân vườn, Bữa sáng",Chỗ đậu xe riêng
542,Thành Bùi,16.100.000 - 17.610.000 VND,Hải Phòng,Hồ bơi trong nhà,13:00 - 14:00,12:00 - 12:00,Máy pha trà/cà phê,Phòng yên tĩnh
543,Thành Phạm,8.600.000 - 9.840.000 VND,Lào Cai,"Trung tâm thể dục, Dọn phòng hàng ngày, Thang máy",14:30 - 18:00,10:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Dọn phòng hàng ngày, Phòng không hút thuốc, Nhà hàng",Tầng cao
544,Dũng Phạm,1.870.000 - 3.470.000 VND,Phú Thọ,"Chỗ đỗ xe, Dịch vụ phòng, Thang máy, Máy pha trà/cà phê",11:30 - 18:00,11:00 - 12:00,"Tiện nghi BBQ, Bữa sáng",View đẹp
545,Quang Thế Hoàng,11.540.000 - 13.200.000 VND,Bình Dương,Hồ bơi ngoài trời,15:00 - 17:00,10:30 - 12:00,Điều hòa nhiệt độ,Khu vực cho phép hút thuốc
546,Hạnh Đặng,3.730.000 - 3.780.000 VND,Điện Biên,"Dịch vụ phòng, Tiện nghi BBQ",15:30 - 13:00,11:30 - 12:00,Sân vườn,Phòng yên tĩnh
547,Huy Mai,7.010.000 - 8.130.000 VND,Cà Mau,"Bữa sáng, Nôi/cũi theo yêu cầu, Thang máy, Chỗ đỗ xe",13:00 - 13:00,9:00 - 12:00,"Nhà hàng, Giặt ủi, Xe đưa đón sân bay",Chỗ đậu xe riêng
548,Chi Hoàng,6.330.000 - 7.380.000 VND,Phú Yên,"Lễ tân 24 giờ, Sân thượng / hiên",13:00 - 13:00,9:30 - 12:00,"Điều hòa nhiệt độ, Thang máy, Nhà hàng, WiFi miễn phí",View đẹp
549,Lan Dương,7.740.000 - 8.050.000 VND,Bắc Giang,"Dịch vụ phòng, Trung tâm Spa & chăm sóc sức khoẻ",15:00 - 16:00,12:00 - 12:00,"Lễ tân 24 giờ, Thang máy, Dọn phòng hàng ngày",Hướng biển
550,Kim Đức Dương,9.960.000 - 10.040.000 VND,Hải Phòng,"Bữa sáng, Xe đưa đón sân bay",15:00 - 14:00,10:30 - 12:00,"Dọn phòng hàng ngày, Phòng gia đình, Quầy bar, Nôi/cũi theo yêu cầu",
551,Nhật Mai,2.960.000 - 3.920.000 VND,Lâm Đồng,"Dịch vụ phòng, Máy pha trà/cà phê",14:30 - 13:00,9:30 - 12:00,"Quầy bar, Giặt ủi, Bữa sáng",
552,Châu Mai Bùi,9.920.000 - 10.620.000 VND,Nam Định,"Phòng không hút thuốc, Chỗ đỗ xe, Tiện nghi cho khách khuyết tật",12:30 - 13:00,10:00 - 12:00,"Phòng gia đình, Chỗ đỗ xe, Tiện nghi BBQ",
553,Vũ Hoàng Dương,2.910.000 - 4.770.000 VND,Lạng Sơn,"WiFi miễn phí, Hồ bơi ngoài trời, Sân thượng / hiên",15:30 - 18:00,11:30 - 12:00,"Xe đưa đón sân bay, Dịch vụ phòng, Phòng không hút thuốc, Thang máy",Giáp biển
554,Nhật Dương,12.320.000 - 13.170.000 VND,Bà Rịa - Vũng Tàu,"Quầy bar, Bữa sáng",15:30 - 13:00,9:00 - 12:00,"Máy pha trà/cà phê, Tiện nghi BBQ, Sân vườn, Trung tâm Spa & chăm sóc sức khoẻ",Hướng biển
555,Chi Dương,16.170.000 - 17.840.000 VND,Ninh Thuận,Máy pha trà/cà phê,11:30 - 18:00,9:30 - 12:00,"Sân thượng / hiên, Tiện nghi cho khách khuyết tật, Chỗ đỗ xe, Giặt ủi",Phòng yên tĩnh
556,Mai Phạm,2.600.000 - 3.790.000 VND,Hà Nội,"Dọn phòng hàng ngày, Bữa sáng",12:00 - 15:00,11:00 - 12:00,Sân thượng / hiên,Nôi em bé
557,Nhật Thế Lê,4.840.000 - 6.110.000 VND,Vĩnh Phúc,"Lễ tân 24 giờ, Xe đưa đón sân bay, Sân vườn",15:00 - 13:00,10:30 - 12:00,Xe đưa đón sân bay,Giáp biển
558,Bảo Nguyễn,3.540.000 - 4.960.000 VND,Cao Bằng,"Phòng gia đình, Trung tâm thể dục",12:00 - 14:00,11:00 - 12:00,"Hồ bơi ngoài trời, Phòng không hút thuốc, Bữa sáng",Phòng không cửa sổ
559,Thành Mai,10.960.000 - 12.540.000 VND,Đắk Nông,"Bữa sáng, WiFi miễn phí, Quầy bar, Phòng không hút thuốc",11:30 - 16:00,12:30 - 12:00,Phòng không hút thuốc,Giáp biển
560,Chi Lê,7.450.000 - 8.780.000 VND,Quảng Trị,Khu vực bãi tắm riêng,12:00 - 15:00,12:30 - 12:00,"Bữa sáng, Chỗ đỗ xe, Hồ bơi ngoài trời",Giường phụ
561,Nam Phạm,16.590.000 - 16.660.000 VND,Quảng Ninh,"Tiện nghi BBQ, WiFi miễn phí",11:00 - 14:00,10:30 - 12:00,"Phòng gia đình, Quầy bar, Điều hòa nhiệt độ",
562,Thành Bùi,8.890.000 - 8.960.000 VND,Long An,"Xe đưa đón sân bay, Dịch vụ phòng, Điều hòa nhiệt độ",14:00 - 15:00,9:30 - 12:00,"Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ",Giáp biển
563,Bảo Vũ,15.690.000 - 15.940.000 VND,Ninh Bình,"Trung tâm thể dục, Điều hòa nhiệt độ, Phòng gia đình, Lễ tân 24 giờ",11:30 - 15:00,9:00 - 12:00,Dọn phòng hàng ngày,
564,Nhật Thế Nguyễn,12.550.000 - 14.160.000 VND,Hậu Giang,Điều hòa nhiệt độ,11:00 - 15:00,12:30 - 12:00,Sân thượng / hiên,Nôi em bé
565,Hoàng Đức Bùi,17.750.000 - 19.290.000 VND,Sơn La,Dọn phòng hàng ngày,14:30 - 16:00,9:30 - 12:00,Dọn phòng hàng ngày,Giường phụ
566,Nhật Quang Phạm,3.990.000 - 4.270.000 VND,Bến Tre,Sân thượng / hiên,11:00 - 17:00,10:30 - 12:00,"WiFi miễn phí, Sân vườn, Khu vực bãi tắm riêng",Chỗ đậu xe riêng
567,Duyên Vũ,5.020.000 - 5.380.000 VND,Tây Ninh,Lễ tân 24 giờ,12:30 - 17:00,12:30 - 12:00,"Trung tâm thể dục, Máy pha trà/cà phê, Trung tâm Spa & chăm sóc sức khoẻ",
568,Vi Vũ,9.660.000 - 10.460.000 VND,Nam Định,"Hồ bơi trong nhà, Tiện nghi cho khách khuyết tật, Bữa sáng",15:00 - 13:00,10:00 - 12:00,"Tiện nghi cho khách khuyết tật, Hồ bơi ngoài trời, Quầy bar, Phòng gia đình",Phòng không cửa sổ
569,Khoa Tấn Hoàng,9.790.000 - 11.570.000 VND,Quảng Bình,"Sân thượng / hiên, Tiện nghi BBQ, Thang máy, Trung tâm thể dục",15:30 - 17:00,11:30 - 12:00,"Giặt ủi, Điều hòa nhiệt độ, Dọn phòng hàng ngày",Phòng yên tĩnh
570,Hạnh Hoàng,10.200.000 - 10.770.000 VND,Trà Vinh,Quầy bar,12:00 - 16:00,10:00 - 12:00,"Khu vực bãi tắm riêng, Trung tâm Spa & chăm sóc sức khoẻ, Thang máy, Chỗ đỗ xe",
571,Quang Hoàng,3.820.000 - 3.840.000 VND,Hà Nội,Phòng gia đình,13:00 - 17:00,9:00 - 12:00,"Dọn phòng hàng ngày, Hồ bơi ngoài trời, Quầy bar",Tầng cao
572,Quang Hải Hoàng,940.000 - 1.020.000 VND,Cao Bằng,"Hồ bơi trong nhà, Giặt ủi",12:30 - 18:00,10:30 - 12:00,"Giặt ủi, Hồ bơi ngoài trời",
573,Hưng Lê,17.310.000 - 17.990.000 VND,Trà Vinh,Bữa sáng,12:30 - 18:00,9:30 - 12:00,"Hồ bơi trong nhà, Dọn phòng hàng ngày",
574,Minh Hoàng,16.620.000 - 17.580.000 VND,Phú Thọ,"Nôi/cũi theo yêu cầu, Sân thượng / hiên",14:00 - 13:00,10:00 - 12:00,"Hồ bơi ngoài trời, Máy pha trà/cà phê",Tầng cao
575,Thành Hoàng,6.560.000 - 8.100.000 VND,Hậu Giang,"Lễ tân 24 giờ, Trung tâm Spa & chăm sóc sức khoẻ",15:00 - 17:00,11:00 - 12:00,"Dịch vụ phòng, Lễ tân 24 giờ, Quầy bar",Chỗ đậu xe riêng
576,Vi Mai,17.480.000 - 18.790.000 VND,Vĩnh Phúc,"Hồ bơi ngoài trời, Khu vực bãi tắm riêng, Phòng gia đình, Sân vườn",15:00 - 14:00,12:30 - 12:00,"Nôi/cũi theo yêu cầu, Dọn phòng hàng ngày, Giặt ủi, Thang máy",Khu vực cho phép hút thuốc
577,Ngọc Đặng,14.270.000 - 15.510.000 VND,Quảng Nam,"Sân vườn, Xe đưa đón sân bay, Trung tâm thể dục, Chỗ đỗ xe",15:00 - 14:00,10:00 - 12:00,"Dịch vụ phòng, Chỗ đỗ xe, Hồ bơi ngoài trời, Hồ bơi trong nhà",Không cần dọn phòng
578,Linh Vũ,11.750.000 - 12.160.000 VND,Tuyên Quang,"Xe đưa đón sân bay, Máy pha trà/cà phê, Phòng gia đình",12:00 - 15:00,12:30 - 12:00,"Trung tâm thể dục, Lễ tân 24 giờ",Giường phụ
579,Kim Thế Trần,6.930.000 - 8.030.000 VND,Hòa Bình,"WiFi miễn phí, Tiện nghi cho khách khuyết tật, Sân vườn, Thang máy",13:30 - 13:00,10:30 - 12:00,"Xe đưa đón sân bay, Quầy bar",
580,Vân Dương,1.730.000 - 2.490.000 VND,Thái Nguyên,Xe đưa đón sân bay,12:00 - 13:00,9:30 - 12:00,Máy pha trà/cà phê,
581,Thành Bảo Phạm,4.070.000 - 5.800.000 VND,Hà Giang,"Hồ bơi trong nhà, Khu vực bãi tắm riêng, Trung tâm Spa & chăm sóc sức khoẻ",13:00 - 18:00,10:30 - 12:00,Trung tâm Spa & chăm sóc sức khoẻ,
582,Phương Quang Trần,16.890.000 - 17.780.000 VND,Sơn La,"Chỗ đỗ xe, Trung tâm thể dục, Trung tâm Spa & chăm sóc sức khoẻ, Quầy bar",11:30 - 18:00,10:30 - 12:00,"Dịch vụ phòng, Khu vực bãi tắm riêng",Giáp biển
583,Lâm Trần,4.830.000 - 6.160.000 VND,Long An,"Khu vực bãi tắm riêng, Dọn phòng hàng ngày, Thang máy, Phòng gia đình",13:00 - 16:00,12:00 - 12:00,"Dọn phòng hàng ngày, Máy pha trà/cà phê, Bữa sáng, Tiện nghi cho khách khuyết tật",
